,onset,duration,trial_type
1,0.0229,4.0226,Ins_main
5,6.0455,1.0226,hand_left
7,8.5682,1.0226,hand_left
9,11.0909,1.0226,hand_left
11,13.6135,1.0226,hand_left
14,16.1362,1.0226,hand_left
16,18.6589,1.0226,hand_left
18,21.1816,1.0225,hand_left
20,23.7043,1.0226,hand_left
23,26.2269,1.0226,hand_left
25,28.7496,1.0226,hand_left
27,31.2723,1.0226,hand_right
29,33.7949,1.0226,hand_right
32,36.3176,1.0226,hand_right
34,38.8403,1.0226,hand_right
36,41.3629,1.0226,hand_right
38,43.8856,1.0226,hand_right
41,46.4082,1.0226,hand_right
43,48.9309,1.0226,hand_right
45,51.4536,1.0226,hand_right
47,53.9763,1.0226,hand_right
50,56.4989,3.0226,Bfix
52,59.5382,4.0226,Ins_index
56,65.5609,1.0226,finger_left
60,68.0835,1.0226,finger_left
63,70.6062,1.0226,finger_left
66,73.1289,1.0226,finger_left
69,75.6516,1.0226,finger_left
73,78.1742,1.0225,finger_left
76,80.6969,1.0226,finger_left
79,83.2196,1.0226,finger_left
82,85.7422,1.0226,finger_left
86,88.2649,1.0226,finger_left
89,90.7876,1.0226,finger_right
92,93.3103,1.0226,finger_right
95,95.8329,1.0226,finger_right
99,98.3556,1.0226,finger_right
102,100.8783,1.0226,finger_right
105,103.4009,1.0226,finger_right
108,105.9236,1.0226,finger_right
112,108.4463,1.0226,finger_right
115,110.9689,1.0226,finger_right
118,113.4916,1.0226,finger_right
122,116.0143,3.0226,Bfix
124,119.0535,4.0226,Ins_yeux
128,125.0762,1.0226,saccade_left
130,127.5989,1.0226,saccade_left
133,130.1215,1.0226,saccade_left
135,132.6442,1.0226,saccade_left
137,135.1668,1.0226,saccade_left
139,137.6895,1.0226,saccade_left
142,140.2122,1.0226,saccade_left
144,142.7348,1.0226,saccade_left
146,145.2575,1.0226,saccade_left
148,147.7802,1.0225,saccade_left
151,150.3028,1.0226,sacaade_right
153,152.8255,1.0226,sacaade_right
155,155.3482,1.0226,sacaade_right
157,157.8708,1.0226,sacaade_right
160,160.3935,1.0226,sacaade_right
162,162.9162,1.0225,sacaade_right
164,165.4388,1.0226,sacaade_right
166,167.9615,1.0226,sacaade_right
169,170.4842,1.0226,sacaade_right
171,173.0069,1.0226,sacaade_right
173,175.5295,3.0228,Bfix
176,178.5523,4.0226,Ins_jambe
180,184.575,1.0226,foot_left
182,187.0977,1.0226,foot_left
184,189.6204,1.0226,foot_left
187,192.143,1.0226,foot_left
189,194.6657,1.0226,foot_left
191,197.1884,1.0226,foot_left
193,199.711,1.0226,foot_left
196,202.2337,1.0225,foot_left
198,204.7564,1.0226,foot_left
200,207.279,1.0226,foot_left
202,209.8017,1.0226,foot_right
205,212.3244,1.0226,foot_right
207,214.8471,1.0226,foot_right
209,217.3697,1.0226,foot_right
211,219.8924,1.0226,foot_right
214,222.4151,1.0226,foot_right
216,224.9378,1.0226,foot_right
218,227.4604,1.0226,foot_right
220,229.9831,1.0226,foot_right
223,232.5058,1.0226,foot_right
225,235.0285,3.0228,Bfix
228,238.0513,4.0226,Ins_bouche
232,244.074,1.0226,tongue_left
234,246.5967,1.0226,tongue_left
236,249.1193,1.0226,tongue_left
238,251.642,1.0226,tongue_left
241,254.1647,1.0226,tongue_left
243,256.6874,1.019,tongue_left
245,259.21,1.0225,tongue_left
247,261.7327,1.0226,tongue_left
250,264.2554,1.0226,tongue_left
252,266.778,1.0226,tongue_left
254,269.3007,1.0226,tongue_right
256,271.8234,1.0226,tongue_right
259,274.346,1.0226,tongue_right
261,276.8687,1.0226,tongue_right
263,279.3914,1.0226,tongue_right
265,281.914,1.0226,tongue_right
268,284.4367,1.0226,tongue_right
270,286.9594,1.0226,tongue_right
272,289.482,1.0226,tongue_right
275,292.0047,1.0226,tongue_right
277,294.5274,3.0229,Bfix
279,297.5502,4.0226,Ins_repos
283,303.5729,1.0226,fixation_left
286,306.0956,1.0226,fixation_left
288,308.6182,1.0226,fixation_left
290,311.1409,1.0226,fixation_left
292,313.6636,1.0226,fixation_left
295,316.1862,1.0226,fixation_left
297,318.7089,1.0225,fixation_left
299,321.2316,1.0226,fixation_left
301,323.7542,1.0226,fixation_left
304,326.2769,1.0226,fixation_left
306,328.7996,1.0226,fixation_right
308,331.3222,1.0226,fixation_right
310,333.8449,1.0226,fixation_right
313,336.3676,1.0226,fixation_right
315,338.8903,1.0226,fixation_right
317,341.413,1.0226,fixation_right
319,343.9356,1.0226,fixation_right
322,346.4583,1.0226,fixation_right
324,348.981,1.0226,fixation_right
326,351.5037,1.0226,fixation_right
329,354.0263,3.0228,Bfix
331,357.0491,4.0226,Ins_main
335,363.0718,1.0226,hand_left
337,365.5944,1.0226,hand_left
340,368.1171,1.0226,hand_left
342,370.6398,1.0226,hand_left
344,373.1557,1.0226,hand_left
346,375.6784,1.0226,hand_left
349,378.2011,1.0226,hand_left
351,380.7237,1.0226,hand_left
353,383.2464,1.0226,hand_left
355,385.769,1.0225,hand_left
358,388.2917,1.0226,hand_right
360,390.8144,1.0226,hand_right
362,393.3371,1.0226,hand_right
364,395.8597,1.0226,hand_right
367,398.3824,1.0226,hand_right
369,400.9051,1.0226,hand_right
371,403.4278,1.0226,hand_right
373,405.9504,1.0226,hand_right
376,408.4731,1.0226,hand_right
378,410.9958,1.0226,hand_right
380,413.5185,3.0227,Bfix
383,416.5412,4.0226,Ins_index
387,422.5639,1.0226,finger_left
391,425.0865,1.0226,finger_left
393,427.6092,1.0226,finger_left
397,430.1319,1.0226,finger_left
400,432.6546,1.0226,finger_left
403,435.1772,1.0226,finger_left
406,437.6999,1.0226,finger_left
410,440.2226,1.0226,finger_left
413,442.7453,1.0226,finger_left
416,445.2679,1.0226,finger_left
419,447.7906,1.0225,finger_right
423,450.3132,1.0226,finger_right
426,452.8359,1.0226,finger_right
429,455.3586,1.0226,finger_right
432,457.8812,1.0226,finger_right
436,460.404,1.0226,finger_right
439,462.9266,1.0226,finger_right
442,465.4493,1.0226,finger_right
445,467.972,1.0226,finger_right
449,470.4946,1.0226,finger_right
452,473.0173,3.0227,Bfix
455,476.04,4.0226,Ins_yeux
459,482.0627,1.0226,saccade_left
461,484.5854,1.0226,saccade_left
463,487.1081,1.0226,saccade_left
465,489.6308,1.0226,saccade_left
468,492.1534,1.0226,saccade_left
470,494.6761,1.0226,saccade_left
472,497.1988,1.0226,saccade_left
474,499.7214,1.0226,saccade_left
477,502.2441,1.0226,saccade_left
479,504.7668,1.0226,saccade_left
481,507.2894,1.0226,sacaade_right
483,509.8121,1.0226,sacaade_right
486,512.3348,1.0226,sacaade_right
488,514.8574,1.0226,sacaade_right
490,517.3801,1.0226,sacaade_right
492,519.9028,1.0226,sacaade_right
495,522.4255,1.0226,sacaade_right
497,524.9481,1.0226,sacaade_right
499,527.4708,1.0226,sacaade_right
501,529.9935,1.0226,sacaade_right
504,532.5162,3.0227,Bfix
506,535.5388,4.0226,Ins_jambe
510,541.5615,1.0226,foot_left
513,544.0842,1.0226,foot_left
515,546.6069,1.0226,foot_left
517,549.1296,1.0226,foot_left
519,551.6522,1.0226,foot_left
522,554.1749,1.0226,foot_left
524,556.6976,1.0226,foot_left
526,559.2202,1.0225,foot_left
528,561.7429,1.0226,foot_left
531,564.2656,1.0226,foot_left
533,566.7883,1.0226,foot_right
535,569.3109,1.0226,foot_right
537,571.8336,1.0226,foot_right
540,574.3563,1.0226,foot_right
542,576.879,1.0226,foot_right
544,579.4017,1.0226,foot_right
546,581.9243,1.0226,foot_right
549,584.447,1.0226,foot_right
551,586.9697,1.0226,foot_right
553,589.4923,1.0226,foot_right
556,592.015,3.0227,Bfix
558,595.0377,4.0226,Ins_bouche
562,601.0604,1.0226,tongue_left
564,603.583,1.0226,tongue_left
567,606.1057,1.0226,tongue_left
569,608.6284,1.0226,tongue_left
571,611.151,1.0226,tongue_left
573,613.6737,1.0226,tongue_left
576,616.1964,1.0226,tongue_left
578,618.7191,1.0226,tongue_left
580,621.2417,1.0226,tongue_left
582,623.7644,1.0226,tongue_left
585,626.2871,1.0226,tongue_right
587,628.8097,1.0225,tongue_right
589,631.3324,1.0226,tongue_right
591,633.8551,1.0226,tongue_right
594,636.3777,1.0226,tongue_right
596,638.9004,1.0226,tongue_right
598,641.4232,1.0226,tongue_right
600,643.9458,1.0226,tongue_right
603,646.4685,1.0226,tongue_right
605,648.9912,1.0226,tongue_right
607,651.5138,3.0227,Bfix
610,654.5365,4.0226,Ins_repos
614,660.5592,1.0226,fixation_left
616,663.0819,1.0226,fixation_left
618,665.6045,1.0226,fixation_left
621,668.1272,1.0226,fixation_left
623,670.6499,1.0226,fixation_left
625,673.1725,1.0226,fixation_left
627,675.6952,1.0226,fixation_left
630,678.2179,1.0226,fixation_left
632,680.7406,1.0226,fixation_left
634,683.2632,1.0225,fixation_left
636,685.7859,1.0225,fixation_right
639,688.3086,1.0226,fixation_right
641,690.8313,1.0226,fixation_right
643,693.3539,1.0226,fixation_right
645,695.8766,1.0226,fixation_right
648,698.3992,1.0226,fixation_right
650,700.9219,1.0226,fixation_right
652,703.4446,1.0226,fixation_right
654,705.9673,1.0226,fixation_right
656,708.4899,1.0226,fixation_right
